"Freq","title"
24.17,"Toy Story (1995)"
11.68,"GoldenEye (1995)"
1.57,"City Hall (1996)"
0.08,"Curdled (1996)"
0,"Comic, The (1969)"
0,"Up in Smoke (1957)"
0,"First Daughter (1999)"
0.01,"Flaw, The (2011)"
0.02,"Battle of Los Angeles (2011)"
0,"Jason Becker: Not Dead Yet (2012)"
0,"Chicago Massacre: Richard Speck (2007)"
0.01,"Keep the Lights On (2012)"
0.01,"Beauty Is Embarrassing (2012)"
0.01,"Girl Model (2011)"
0.01,"Crossfire Hurricane (2012)"
0,"Middle of Nowhere (2012)"
0,"True Blue (2001) "
0,"Guns of Fort Petticoat, The (1957)"
0.1,"Human Planet (2011)"
0.01,"Madagascar (2011)"
0,"Omar Killed Me (Omar m'a tuer) (2011)"
0,"Enola Gay and the Atomic Bombing of Japan (1995)"
0,"Red Hook Summer (2012)"
0,"Stella Maris (1918)"
0,"Die (2010)"
0.01,"Patrice O'Neal: Elephant in the Room (2011)"
0.01,"Sunny (Sseo-ni) (2011)"
0.01,"My Way (Mai Wei) (2011)"
0.04,"Comme un chef (2012)"
0,"Punching the Clown (2009)"
0,"Metsän tarina (2012)"
0.01,"Choose (2010)"
0,"Made in Hong Kong (Xiang Gang zhi zao) (1997)"
0,"Creature from Black Lake (1976) "
0,"Bad Luck (Zezowate szczescie) (1960)"
0.2,"Movie 43 (2013)"
0,"Iceman Tapes: Conversations with a Killer, The (1992)"
0.01,"Night of the Demons 2 (1994)"
0.02,"Star Wars Uncut: Director's Cut (2012)"
0,"Hitler's Madman (1943)"
0.03,"Death Race 3: Inferno (2012)"
0,"Black White + Gray: A Portrait of Sam Wagstaff and Robert Mapplethorpe (2007) "
0,"Pictures of the Old World (Obrazy starého sveta) (1972)"
0.02,"Associate, The (Associé, L') (1979)"
0,"Jean Gentil (2010)"
0,"Day and Night (Le jour et la nuit) (1997)"
0.08,"Pervert's Guide to Ideology, The (2012)"
0.19,"Parker (2013)"
0,"We the Party (2012)"
0.01,"Simple Life, A (Tao jie) (2011)"
0,"Treacle Jr. (2010)"
0,"End of Love, The (2012)"
0,"Palms (Ladoni) (1994)"
0,"Act in Question, The (Acto en cuestión, El) (1993)"
0.01,"Color Wheel, The (2011)"
0,"Green Wave, The (2010)"
0.01,"Gayby (2012)"
0.08,"Sightseers (2012)"
0,"Oppai Volleyball (Oppai barê) (2009)"
0.46,"Hansel & Gretel: Witch Hunters (2013)"
0.01,"Kon-Tiki (1950)"
0,"Murder by Proxy: How America Went Postal (2010)"
0.03,"After Porn Ends (2010)"
0,"Angélique, marquise des anges (1964)"
0,"Stonehenge Apocalypse (2010)"
0,"Last Godfather, The (2010)"
0,"Portrait of Wally (2012)"
0.03,"Starlet (2012)"
0,"Palme (2012)"
0,"Poor Us: An Animated History of Poverty (2012)"
0,"Ironclads (1991)"
0.02,"Jim Jefferies: Fully Functional (EPIX) (2012)"
0.01,"Tom Petty and the Heartbreakers: Runnin' Down a Dream (2007)"
0,"Ah of Life, The (2010)"
0.05,"Ed's Next Move (1996)"
0,"Churchill: The Hollywood Years (2004)"
0,"Sundome (2007)"
0.01,"Godzilla vs. Gigan (Chikyû kogeki meirei: Gojira tai Gaigan) (1972)"
0.01,"Music Man, The (2003)"
0,"Wild Horse, Wild Ride (2011)"
0,"God Save My Shoes (2011)"
0.02,"Why Stop Now (2012)"
0,"Psychopath, The (1966)"
0,"Not with My Wife, You Don't! (1966)"
0.01,"Big Picture, The (L'homme qui voulait vivre sa vie) (2010)"
0,"Woman's Face, A (En kvinnas ansikte) (1938) "
0.12,"East, The (2013)"
0,"Pretty Sweet (2012)"
0.01,"Lo (2009)"
0,"House of Seven Corpses, The (1974)"
0,"Karlsson Brothers (Bröderna Karlsson) (2010)"
0,"Confessions of a Driving Instructor (1976)"
0,"Confessions from a Holiday Camp (1977)"
0,"Kilometre Zero (Kilomètre zéro) (2005)"
0,"Tepenin Ardi (2012)"
0,"Paziraie Sadeh (2012)"
0,"Day Is Done (2011)"
0,"Un vampiro para dos (1965)"
0.01,"Love Loves Coincidences (2011)"
0.03,"Snow White (Blancanieves) (2012)"
0,"Return (2011)"
0.02,"Tabu (2012)"
0,"Head Games (2012)"
0,"Pink Ribbons, Inc. (2011)"
0,"Ballplayer: Pelotero (2011)"
0,"Désiré (1992)"
0,"Den sommeren jeg fylte 15 (1976)"
0,"Erotic Man, The (2010)"
0.61,"Extreme Measures (1996)"
0,"Wszystko, co kocham (2009)"
0.22,"Upside Down (2012)"
0.01,"Liability, The (2012)"
0.02,"Angst  (1983)"
0,"Pressure Point (1962)"
0,"Butchered (2010)"
0,"On the Edge (Hak bak do) (2006)"
0,"2 Become 1 (Tin sun yut dui) (2006)"
0.02,"Baytown Outlaws, The (2012)"
0,"LUV (2012)"
0.08,"Stand Up Guys (2012)"
0.01,"Le grand soir (2012)"
0,"Kukuli (1961)"
0,"Land, The (Al-ard) (1969)"
0,"Chouga (Shuga) (2007)"
0.02,"Udaan (2010)"
0,"Life Apart: Hasidism in America, A (1997)"
0.03,"Hawking (2004)"
0.07,"No (2012)"
0,"Finding Joy (2013)"
0.05,"Now Is Good (2012)"
0.03,"Haunting in Connecticut 2: Ghosts of Georgia, The (2013)"
0,"Adonis Factor, The (2010)"
0.06,"Resident Evil: Degeneration (Baiohazâdo: Dijenerêshon) (2008)"
0,"Call Me Kuchu (2012)"
0,"No Man of Her Own (1950) "
0,"Prinsessa (Starring Maja) (2009)"
0,"Miss Kicki (2009)"
0.57,"Side Effects (2013)"
0,"Midnight's Children (2012)"
0,"Kadal (2013)"
0.31,"Identity Thief (2013)"
0,"Waiting Room, The (2007)"
0,"Shadow People  (2007)"
0.04,"ABCs of Death, The (2012)"
0.59,"Glimmer Man, The (1996)"
0.01,"21 tapaa pilata avioliitto (2013)"
0,"Rainy Dog (Gokudô kuroshakai) (1997)"
0,"Perkele! Kuvia Suomesta (1971)"
0.04,"Resident Evil: Damnation (2012)"
0,"Foreigner, The (1978)"
0,"Days and Hours (Kod amidze Idriza) (2004)"
0,"Assault of the Sasquatch (Sasquatch Assault) (2009)"
0,"Dancing in the Rain (Ples v dezju) (1961)"
0,"Rage, The (2007)"
0.01,"Bang Bang Club, The (2010)"
0.04,"Gatekeepers, The (2012)"
0.01,"Glimpse Inside the Mind of Charles Swan III, A (2012)"
0.04,"Lore (2012)"
0.01,"Drogówka (2013)"
0.01,"Rumble in the Air-Conditioned Auditorium: O'Reilly vs. Stewart 2012, The (2012)"
0,"Sasquatch: The Legend of Bigfoot (1977)"
0,"Right America: Feeling Wronged - Some Voices from the Campaign Trail (2009) "
0.05,"Battlestar Galactica: Blood & Chrome (2012)"
0,"Devil's Tomb, The (2009)"
0.01,"Game of Death (2010)"
0,"Quackser Fortune Has a Cousin in the Bronx (1970)"
0,"Can Heironymus Merkin Ever Forget Mercy Humppe and Find True Happiness? (1969)"
0,"Pink Jungle, The (1968)"
0.03,"Chinese Zodiac (Armour of God III) (CZ12) (2012)"
0,"Playroom, The (2012)"
0.02,"Unfinished Song (Song for Marion) (2012)"
0.17,"Beautiful Creatures (2013)"
0,"Living Free (1972)"
0,"Ten Tall Men (1951)"
0,"Incir Reçeli (2011)"
0,"Knucklehead (2010)"
0.4,"Good Day to Die Hard, A (2013)"
0.86,"D3: The Mighty Ducks (1996)"
0,"I Thank a Fool (1962)"
0,"Monte Walsh (2003)"
0.11,"21 and Over (2013)"
0.02,"Tale of Tales (Skazka skazok) (1979)"
0.01,"House Is Black, The (1963)"
0.01,"Mothlight (1963)"
0.01,"War Witch (Rebelle) (2012)"
0,"World Before Her, The (2012)"
0,"A.K.A. Don Bonus (1995)"
0,"Who Killed Vincent Chin? (1987)"
0.22,"Safe Haven (2013)"
0.01,"Elles (2011)"
0,"In the Edges: The 'Grizzly Man' Session (2005) "
